,Species,Num_alleles,Count
0,Lactiplantibacillus plantarum,Num_Alleles,708441
1,Lacticaseibacillus rhamnosus,Num_Alleles,246530
2,Lacticaseibacillus paracasei,Num_Alleles,214860
3,Pediococcus acidilactici,Num_Alleles,203863
4,Ligilactobacillus salivarius,Num_Alleles,155578
5,Limosilactobacillus reuteri,Num_Alleles,114250
6,Lactiplantibacillus pentosus,Num_Alleles,101618
7,Weissella confusa,Num_Alleles,95832
8,Pediococcus pentosaceus,Num_Alleles,89528
9,Levilactobacillus brevis,Num_Alleles,84558
10,Lactobacillus acidophilus,Num_Alleles,80244
11,Lactobacillus crispatus,Num_Alleles,77771
12,Weissella cibaria,Num_Alleles,73333
13,Oenococcus oeni,Num_Alleles,72217
14,Leuconostoc mesenteroides,Num_Alleles,66904
15,Latilactobacillus sakei,Num_Alleles,64150
16,Lentilactobacillus parabuchneri,Num_Alleles,55770
17,Lactobacillus delbrueckii,Num_Alleles,54337
18,Ligilactobacillus ruminis,Num_Alleles,52923
19,Lactobacillus johnsonii,Num_Alleles,50243
20,Leuconostoc inhae,Num_Alleles,48996
21,Limosilactobacillus fermentum,Num_Alleles,47334
22,Lactobacillus paragasseri,Num_Alleles,40897
23,Lactobacillus gasseri,Num_Alleles,35247
24,Lactobacillus helveticus,Num_Alleles,27496
25,Lactobacillus iners,Num_Alleles,24870
26,Lactiplantibacillus plantarum,Num_alleles_after,704878
27,Lacticaseibacillus rhamnosus,Num_alleles_after,244959
28,Lacticaseibacillus paracasei,Num_alleles_after,213639
29,Pediococcus acidilactici,Num_alleles_after,202701
30,Ligilactobacillus salivarius,Num_alleles_after,154721
31,Limosilactobacillus reuteri,Num_alleles_after,113520
32,Lactiplantibacillus pentosus,Num_alleles_after,100757
33,Weissella confusa,Num_alleles_after,95218
34,Pediococcus pentosaceus,Num_alleles_after,89006
35,Levilactobacillus brevis,Num_alleles_after,83874
36,Lactobacillus acidophilus,Num_alleles_after,79710
37,Lactobacillus crispatus,Num_alleles_after,77182
38,Weissella cibaria,Num_alleles_after,72654
39,Oenococcus oeni,Num_alleles_after,71391
40,Leuconostoc mesenteroides,Num_alleles_after,66289
41,Latilactobacillus sakei,Num_alleles_after,63597
42,Lentilactobacillus parabuchneri,Num_alleles_after,55423
43,Lactobacillus delbrueckii,Num_alleles_after,53779
44,Ligilactobacillus ruminis,Num_alleles_after,52534
45,Lactobacillus johnsonii,Num_alleles_after,49815
46,Leuconostoc inhae,Num_alleles_after,48744
47,Limosilactobacillus fermentum,Num_alleles_after,46997
48,Lactobacillus paragasseri,Num_alleles_after,40499
49,Lactobacillus gasseri,Num_alleles_after,34938
50,Lactobacillus helveticus,Num_alleles_after,27174
51,Lactobacillus iners,Num_alleles_after,24485
