,Species,Core_genes,Gene_variations
0,Lacticaseibacillus_paracasei,1252,1238
1,Lacticaseibacillus_rhamnosus,1371,1331
2,Lactiplantibacillus_pentosus,1954,1838
3,Lactiplantibacillus_plantarum,1161,1157
4,Lactobacillus_acidophilus,1486,1003
5,Lactobacillus_crispatus,937,913
6,Lactobacillus_delbrueckii,811,807
7,Lactobacillus_gasseri,1137,1064
8,Lactobacillus_helveticus,886,882
9,Lactobacillus_iners,829,749
10,Lactobacillus_johnsonii,1069,1040
11,Lactobacillus_paragasseri,1136,1079
12,Latilactobacillus_sakei,1283,1195
13,Lentilactobacillus_parabuchneri,1859,1533
14,Leuconostoc_inhae,1361,1223
15,Leuconostoc_mesenteroides,1079,1059
16,Levilactobacillus_brevis,1262,1222
17,Ligilactobacillus_ruminis,1357,1315
18,Ligilactobacillus_salivarius,1038,1029
19,Limosilactobacillus_fermentum,966,953
20,Limosilactobacillus_reuteri,1142,1116
21,Oenococcus_oeni,1003,988
22,Pediococcus_acidilactici,1057,1028
23,Pediococcus_pentosaceus,1178,1159
24,Weissella_cibaria,1286,1239
25,Weissella_confusa,1331,1288
