,Species,Num_strains_with_var
0,Lacticaseibacillus_paracasei,172
1,Lacticaseibacillus_rhamnosus,180
2,Lactiplantibacillus_pentosus,52
3,Lactiplantibacillus_plantarum,611
4,Lactobacillus_acidophilus,54
5,Lactobacillus_crispatus,83
6,Lactobacillus_delbrueckii,67
7,Lactobacillus_gasseri,31
8,Lactobacillus_helveticus,31
9,Lactobacillus_iners,30
10,Lactobacillus_johnsonii,47
11,Lactobacillus_paragasseri,36
12,Latilactobacillus_sakei,50
13,Lentilactobacillus_parabuchneri,30
14,Leuconostoc_inhae,36
15,Leuconostoc_mesenteroides,62
16,Levilactobacillus_brevis,67
17,Ligilactobacillus_ruminis,39
18,Ligilactobacillus_salivarius,150
19,Limosilactobacillus_fermentum,49
20,Limosilactobacillus_reuteri,100
21,Oenococcus_oeni,72
22,Pediococcus_acidilactici,193
23,Pediococcus_pentosaceus,76
24,Weissella_cibaria,57
25,Weissella_confusa,72
